Општина,Населено место,Градба/место
Гостивар,Гостивар,Куќа на ул. „Борис Кидрич“ бр. 7 и 9
Гостивар,Гостивар,Куќа на ул. „Борис Кидрич“ бр. 8
Гостивар,Гостивар,Куќа на ул. „Борис Кидрич“ бр. 11
Гостивар,Равен,Археолошко наоѓалиште „Кале“
Гостивар,Равен,Стара џамија
Градско,Горно Чичево,Чичевски манастир
Градско,Градско,Стоби
Градско,Свеќани,Црква „Св. Атанасиј“
Дебар,Бањиште,Стари дебарски бањи
Дебар,Гари,Рурална целина Гари
Дебар,Дебар,Нов амам
Дебар,Дебар,Стар амам
Дебар,Дебар,Куќа на ул. „Петре Поповски“ бр. 9
Дебар,Дебар,Куќа на ул. „Лиман Каба“ бр. 22
Дебар,Дебар,Куќа на ул. „1 Мај“ бр. 43
Дебар,Дебар,Куќа на ул. „Братство–единство“ бр. 31
Дебар,Дебар,Куќа на ул. „Здравко Чочковски“ бр. 226
Дебар,Дебар,Инќар џамија
Дебар,Могорче,Елен Скок
Дебар,Рајчица,Црква „Св. Варвара“
Дебар,Џепиште,Археолошко наоѓалиште „Римска црква“
Дебрца,Белчишта,"Споменик на слободата, братството и единството на бригадите"
Дебрца,Белчишта,Основно училиште
Дебрца,Белчишта,Куќа со спомен-плоча
Дебрца,Велмеј,Археолошко наоѓалиште „Горнополско Градиште“
Дебрца,Велмеј,Археолошко наоѓалиште „Кутлина“
Дебрца,Велмеј,Црква „Св. Богородица Пречиста Ќелија“
Дебрца,Врбјани,Споменик на паднатите борци од НОБ
Дебрца,Горенци,Археолошко наоѓалиште „Требеништа-Сува Чешма“
Дебрца,Горенци,Археолошко наоѓалиште „Требенишка Некропола“
Дебрца,Горно Средоречие,Археолошко наоѓалиште „Зластрана“
Дебрца,Лешани,Црква „Сите Светители“
Дебрца,Лешани,Лешанска воденица
Дебрца,Оровник,Римски бањи
Дебрца,Сливово,Спомен-чешма
Дебрца,Сливово,Спомен-плоча
Дебрца,Требеништа,Археолошко наоѓалиште „Требеништа“
Дебрца,Требеништа,Требенишко кале
Делчево,Разловци,Црква „Св. Константин и Елена“
Демир,Демир Капија,Археолошки комплекс „Демир Капија“
Демир,Демир Капија,Мелница „Бошава“
Демир,Вирово,Вировски валавици
Демир,Жван,Жвански воденици
Демир,Жван,Топлички манастир
Демир,Железнец,Рурална целина
Демир,Журче,Амбар
Демир,Журче,Журчевски манастир
Демир,Обедник,Археолошки наоѓалиште „Влашки Гробишта“
Демир,Слепче,Црква „Св. Јован Претеча“
Демир,Смилево,Историска целина
Дојран,Стар Дојран,Дојрански амам
Дојран,Стар Дојран,Црква „Св. Илија“
Дојран,Нов Дојран,Археолошки комплекс „Топлец“
Дојран,Фурка,Црква „Св. Пророк Илија“
Долнени,Житоше,Црква „Св. Атанасиј Житоечки“
Долнени,Зрзе,Зрзески манастир
Долнени,Костинци,Црква „Рождество на Пресвета Богородица“
Долнени,Небрегово,Спомен-дом „Блаже Конески“
Желино,Желино,Желински мост
Зелениково,Градовци,Црква „Св. Ѓорѓи
Зелениково,Зелениково,Археолошко наоѓалиште „Слатина“
Зелениково,Таор,Археолошко наоѓалиште „Тули“
Зрновци,Мородвис,Морозвизд
Јегуновце,Орашје,Орашко Кале
Јегуновце,Туденце,Археолошко наоѓалиште „Црквиште“
Кавадарци,Ваташа,Спомен-куќа на Страшо Пинџур
Кавадарци,Ваташа,Споменик на дванаесетте ваташки младинци
Кавадарци,Дреново,Археолошко наоѓалиште „Картозов Рид“
Кавадарци,Кавадарци,Маркова кула
Кавадарци,Кавадарци,[[Тиквеш (винарија)|Стара винарска визба „Тиквеш“]
Кавадарци,Ресава,Археолошко наоѓалиште „Градот“
Карбинци,Карбинци,Куќа на Дамбеви
Карбинци,Козјак,Баргала
Карбинци,Козјак,Археолошко наоѓалиште „Градот/Кале“
Карбинци,Козјак,Археолошко наоѓалиште „Селиште“
Карбинци,Козјак,Археолошко наоѓалиште „Бандера“
Карбинци,Крупиште,Археолошко наоѓалиште „Клетовник“
Карбинци,Крупиште,Базилика Крупиште
Карбинци,Крупиште,Црвена Црква
Карбинци,Радање,Мехмед-агина џамија
Карбинци,Таринци,Археолошко наоѓалиште „Вршник“
Карбинци,Таринци,Археолошко наоѓалиште „Крст“
Кичево,Кичево,Китино Кале
Кичево,Кичево,Палатиште
Кичево,Кичево,Куќа на НОБ
Кичево,Кичево,Зграда на Музејот „Западна Македонија во НОБ“
Кичево,Кичево,Куќа на ул. „Маршал Тито“ бр. 58
Кичево,Кичево,Куќа на ул. „29 Ноември“ бр. 32
Кичево,Кичево,Куќа на ул. „Тане Целески“ бр. 19 и 21
Кичево,Кичево,Станбен објект на ул. „Јанко Михајловски“ бр. 11 и 13
Кичево,Кичево,Кичевска чаршија
Кичево,Подвис,Стара училишна зграда
Кичево,Цер,Археолошко наоѓалиште „Црквиште/Зад Забел“
Кичево,Цер,Спомен-гробница на Христо Узунов
Кичево,Цер,Црква „Мицеви“
Кичево,Манастирско Доленци,Кичевски манастир
Кичево,Јагол Доленци,Археолошко наоѓалиште „Суви Ливади“
Кичево,Длапкин Дол,Археолошко наоѓалиште „Чукаре“
Кичево,Длапкин Дол,Археолошко наоѓалиште „Св. Ѓорѓи“
Конче,Конче,Црква „Св. Стефан“
Кочани,Кочани,Средновековни кули
Кочани,Кочани,Споменик на слободата
Кочани,Костин Дол,"Стопанска целина, стопански објекти на воден погон"
Кратово,Кратово,Симиќева кула
Кратово,Кратово,Саат кула
Кратово,Кратово,"Урнатини од 4 средновековни кули (Хаџи-Костова кула, Крстева кула, Еминбегова кула, Златкова кула)"
Кратово,Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 58
Кратово,Кратово,Куќа на ул. „Христијан Тодоровски – Карпош“ бр. 1
Кратово,Кратово,Соколова куќа
Кратово,Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 56
Кратово,Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 80
Кратово,Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 61
Кратово,Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 59
Кратово,Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 66
Кратово,Кратово,Куќа на ул. „Планинска“ бр. 17
Кратово,Кратово,Куќа на ул. „Глигор Пазавански“ бр. 17
Кратово,Кратово,Куќа на ул. „Глигор Пазавански“ бр. 22
Кратово,Кратово,Куќа на ул. „Гоце Делчев“ (или „Ѓуро Салај“) бр. 4
Кратово,Кратово,Куќа на ул. „Цветко Танев“
Кратово,Кратово,"Целина на средноковни мостови (Гровчански мост, Чаршиски мост, Јокширски мост Радин мост, Горен мост, Аргулички мост)"
Кратово,Кратово,Гровчански мост
Кратово,Кратово,Аргулички мост
Крива,Варовиште,Осоговски манастир
Крива,Градец,Градиште
Крива,Дурачка Река,Валавици на Дурачка Река
Крива,Крива Паланка,Куќа на ул. „Никола Тесла“ бр. 13
Крива,Мождивњак,Црква „Св. Троица“
Крушево,Бучин,Стар мост
Крушево,Крушево,Куќа на Никола Карев
Крушево,Крушево,Куќа на Крушевската Република
Крушево,Крушево,Работилница за оружје
Крушево,Крушево,Споменик „Илинден“
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 4
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 13
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 14
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 15
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 22
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 27
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 29
Крушево,Крушево,Куќа на ул. „Коча Миленку“ бр. 32
Крушево,Крушево,Куќа на ул. „Нико Доага“ бр. 52
Крушево,Крушево,Куќа на ул. „Нико Доага“ бр. 55
Крушево,Крушево,Куќа на ул. „Нико Доага“ бр. 56
Крушево,Крушево,Куќа на ул. „Нико Доагѓа“ бр. 65
Крушево,Крушево,Куќа на ул. „Нико Доага“ бр. 66
Крушево,Крушево,Куќа на ул. „Нико Доага“ бр. 67
Крушево,Крушево,Куќа на ул. „Нико Доага“ бр. 68
Крушево,Крушево,Куќа на ул. „Партизанска“ бр. 6
Крушево,Крушево,Куќа на ул. „Партизанска“ бр. 28
Крушево,Крушево,Куќа на ул. „Партизанска“ бр. 30
Крушево,Крушево,Куќа на ул. „Партизанска“ бр. 38
Крушево,Крушево,Куќа на ул. „Манчу Матак“ бр. 28
Крушево,Крушево,Куќа на ул. „Манчу Матак“ бр. 32
Крушево,Крушево,Куќа на ул. „Манчу Матак“ бр. 34
Крушево,Крушево,Куќа на ул. „Тома Никле“ бр. 16
Крушево,Крушево,Куќа на ул. „Тома Никле“ бр. 18
Крушево,Крушево,Куќа на ул. „Илинденска“ бр. 100
Крушево,Крушево,Куќа на ул. „Илинденска“ бр. 101
Крушево,Крушево,Куќа на ул. „Таки Бербер“ бр. 16
Крушево,Крушево,Куќа на ул. „Таки Бербер“ бр. 17
Крушево,Крушево,Куќа на ул. „Питу Гули“ бр. 1
Крушево,Крушево,Куќа на ул. „Питу Гули“ бр. 29
Крушево,Крушево,Куќа на ул. „Благој Целев“ бр. 15
Крушево,Крушево,Куќа на ул. „Благој Целев“ бр. 25
Крушево,Крушево,Куќа на ул. „Благој Целев“ бр. 28
Крушево,Крушево,Куќа на ул. „Мише Ефтим“ бр. 63
Крушево,Крушево,Куќа на ул. „Никола Ѓурковиќ“ бр. 11
Крушево,Крушево,Куќа на ул. „Шула Мина“ бр. 34
Крушево,Крушево,Куќа на Градскиот народен комитет
Крушево,Крушево,Куќа на ул. „8 Септември“ бр. 23
Крушево,Крушево,Куќа на ул. „Мише Ефтим“ бр. 20
Крушево,Крушево,Иконостасот од црквата „Св. Јован Крстител“
Крушево,Крушево,Спомен-куќа на Тоше Проески
Крушево,Крушево,Дом на културата „Наум Наумовски – Борче“
Крушево,Крушево,Зграда на Музејот на НОВ
Куманово,Довезенце,Црква „Вознесение Христово“
Куманово,Куманово,Куќа на ул. „Моша Пијаде“ бр. 138
Куманово,Куманово,Спомен-куќа на Христијан Тодоровски-Карпош
Куманово,Куманово,"Македонка, споменик на Револуцијата"
Куманово,Куманово,Татар Синан Бег џамија
Куманово,Куманово,Занаечиски дом
Куманово,Куманово,Соколански дом
Куманово,Куманово,Хотел „Солун“
Куманово,Табановце,Џамија Коџа Мегмед Бег
Липково,Матејче,Жеглиговски манастир
Маврово,Битуше,Куќа на партизанската печатница „Гоце Делчев“
Маврово,Галичник,Куќа на Партенија Зографски
Маврово,Галичник,Куќа на Ѓорѓија Пулевски
Маврово,Галичник,Куќа – сопственик Иљо Панговски/Ванковски
