Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
960,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 15,,
961,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 16,,
962,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 17,,
963,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 18,,
964,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 20,,
965,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 21,,
966,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 22,,
967,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 23,,
968,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 23а,,
969,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 24,,
970,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 25б,,
971,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 25в,,
972,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 26,,
973,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 27,,
974,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 28,,
975,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 28б,,
976,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 30,,
977,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 31,,
978,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 32,,
979,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 34,,
980,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 36,,
981,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 38,,
982,Струмица (68),Струмица,Дуќан на ул. „Маршал Тито“ бр. 40,,
983,Струмица (68),Струмица,Струмичко кале,,
984,Струмица (68),Струмица,Археолошко наоѓалиште „Марково Кале“,,
985,Струмица (68),Струмица,Археолошко наоѓалиште „Кула“,,
986,Струмица (68),Струмица,Стара турска пошта,,
987,Струмица (68),Струмица,Куќа на ул. „Тошо Арсов“ бр. 23,Дупликат; претставува Старата  турска пошта,
988,Струмица (68),Струмица,Куќа на ул. „Тодор Чучков“ бр. 8,,
989,Струмица (68),Струмица,Куќа на ул. „Тодор Чучков“ бр. 10,,
990,Струмица (68),Струмица,Куќа на ул. „Тодор Чучков“ бр. 14,,
981,Струмица (68),Струмица,Куќа на ул. „Тодор Чучков“ бр. 16,,
992,Струмица (68),Струмица,Куќа на ул. „Кирил и Методиј“ бр. 41,,
993,Струмица (68),Струмица,Куќа на ул. „Кирил и Методиј“ бр. 59 - 61,,
994,Струмица (68),Струмица,Куќа на ул. „Кирил и Методиј“ бр. 65,,
995,Струмица (68),Струмица,Куќа на ул. „Кирил и Методиј“ бр. 73,,
996,Струмица (68),Струмица,Куќа на ул. „Први мај“ бр. 1,,
997,Струмица (68),Струмица,Куќа на ул. „Ванчо Прке“ бр. 2,,
998,Струмица (68),Струмица,Куќа на ул. „Страшо Пинџур“ бр. 1,,
999,Струмица (68),Струмица,Зејни-бегов конак,,
1000,Струмица (68),Струмица,Зграда на Општина Струмица,,
1001,Струмица (68),Струмица,Хотел „Српски крал“,,
1002,Струмица (68),Струмица,Црква „Св. Кирил и Методиј“,,
1003,Струмица (68),Струмица,Орта џамија,,
1004,Струмица (68),Струмица,Археолошко наоѓалиште „Мачук“,,
1005,Струмица (68),Струмица,Струмичка чаршија,,
1006,Струмица (68),Струмица,Стар театар „Антон Панов“,,
1007,Струмица (68),Струмица,Библиотека „Благој Јанков - Мучето“,,
1008,Струмица (68),Струмица,Завод за заштита на спомениците на културата и Музеј во Струмица,,
1009,Струмица (68),Струмица,Спомен-дом на култура „Благој Јанков Мучето“,,
1010,Студеничани (3),Горно Количани,Старо училиште,,
1011,Студеничани (3),Маркова Сушица,Црква „Св. Никола Николимуки“[б 1],,
1012,Студеничани (3),Маркова Сушица,Марков манастир,,
1013,Теарце (10),Лешок,Археолошко наоѓалиште „Два Бреста“,,
1014,Теарце (10),Лешок,Археолошко наоѓалиште „Лешочко Кале“,,
1014,Теарце (10),Лешок,Археолошко наоѓалиште „Црници“,,
1015,Теарце (10),Лешок,Гроб на Кирил Пејчиновиќ,,
1016,Теарце (10),Лешок,Црква „Св. Атанасиј“,,
1017,Теарце (10),Лешок,Црква „Успение на Пресвета Богородица“,,
1018,Теарце (10),Непроштено,Црква „Св. Архангел Михаил“,,
1019,Теарце (10),Отушиште,Стара џамија,,
1020,Теарце (10),Слатино,Археолошко наоѓалиште „Долги Грм“,,
1020,Теарце (10),Теарце,Стара џамија,,
1021,Тетово (15),Тетово,Чифте амам,,
1022,Тетово (15),Тетово,Тетовско кале,,
1023,Тетово (15),Тетово,Куќа на ул. „Кузман Јосифовски-Питу“ бр. 130,,
1024,Тетово (15),Тетово,Куќа на ул. „Гоце Делчев“ бр. 93,,
1025,Тетово (15),Тетово,Куќа на ул. „Браќа Миладинови“ бр. 93,,
1026,Тетово (15),Тетово,Куќа на ул. „Браќа Миладинови“ бр. 111,,
1027,Тетово (15),Тетово,Куќа на ул. „Браќа Миладинови“ бр. 164,,
1028,Тетово (15),Тетово,Куќа на ул. „Браќа Миладинови“ бр. 166,,
1029,Тетово (15),Тетово,Куќа на Јовановци,,
1030,Тетово (15),Тетово,Спомен-куќа на Ѓоце Стојчевски,,
1031,Тетово (15),Тетово,Камен мост,,
1032,Тетово (15),Тетово,Арабати баба-теќе,,
1033,Тетово (15),Тетово,Шарена џамија,,
1034,Тетово (15),Тетово,Алимбегова куќа,,
1035,Тетово (15),Џепчиште,Археолошко наоѓалиште „Латинска Црква“,,
1036,Центар Жупа (2),Горенци,Горенички мост,,
1037,Центар Жупа (2),Коџаџик,Меморијален центар „Коџаџик“,,
1038,Чашка (11),Војница,Црква „Св. Атанасиј“,,
1039,Чашка (11),Горно Врановци,Спомен-куќа на Президиумот на АСНОМ,,
1040,Чашка (11),Горно Врановци,Спомен-печатница на Главниот Штаб,,
1041,Чашка (11),Горно Врановци,Спомен-куќа на Централниот Комитет,,
1042,Чашка (11),Горно Врановци,Џамија,,
1043,Чашка (11),Горно Врановци,селото како целина,,
1044,Чашка (11),Богомила,Камен мост,,
1044,Чашка (11),Богомила,Спомен-куќа на Петар Поп Арсов,,
1045,Чашка (11),Богомила,Црква „Св. Атанасиј“,,
1045,Чашка (11),Мокрени,Црква „Св. Никола“,,
1046,Чашка (11),Папрадиште,Црква „Св. Петар и Павле“,,
1047,Чучер-Сандево (14),Бразда,Бразданска гробница,,
1048,Чучер-Сандево (14),Бањане,Црква „Св. Благовештение“,,
1049,Чучер-Сандево (14),Бањане,Црква „Св. Ѓорѓи“,,
1050,Чучер-Сандево (14),Бањане,Црква „Св. Илија“,,
1050,Чучер-Сандево (14),Блаце,Црква „Св. Ѓорѓи“,,
1050,Чучер-Сандево (14),Бразда,Монументална раноантичка гробница,,
1050,Чучер-Сандево (14),Бродец,Црква „Св. Илија“,,
1051,Чучер-Сандево (14),Горњане,Црква „Св. Никита“,,
1052,Чучер-Сандево (14),Кучевиште,Црква „Воведение на Пресвета Богородица“,,
1053,Чучер-Сандево (14),Кучевиште,Кучевишки манастир,,
1054,Чучер-Сандево (14),Побожје,Побошки манастир,,
1055,Чучер-Сандево (14),Побожје,Црква „Св. Петка“,,
1056,Чучер-Сандево (14),Чучер-Сандево,Куќа на Александар Урдаревски-Станко,,
1057,Чучер-Сандево (14),Чучер-Сандево,Споменик на Александар Урдаревски-Станко,,
1058,Штип (55),Ново Село,Ново Село (градителска целина),,
1059,Штип (55),Ново Село,Новоселско училиште,,
1060,Штип (55),Ново Село,Црква „Успение на Пресвета Богородица“,,
1061,Штип (55),Ново Село,Црква „Св. Троица“,,
1062,Штип (55),Ново Село,Куќа на ул. „Никола Карев“ бр. 2,,
1063,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 6,,
1064,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 8,,
1065,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 12,,
1066,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 14,,
1067,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 26,,
1068,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 34,,
1069,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 45,,
1070,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 67,,
1071,Штип (55),Ново Село,Куќа на ул. „Крсте Мисирков“ бр. 69,,
1072,Штип (55),Стар Караорман,Археолошко наоѓалиште „Балабаница“,,
1073,Штип (55),Стар Караорман,Археолошко наоѓалиште „Крушки“,,
1074,Штип (55),Стар Караорман,Археолошко наоѓалиште „Орлови Чуки“,,
1075,Штип (55),Штип,Штипска тврдина,,
1076,Штип (55),Штип,Штипски безистен,,
1077,Штип (55),Штип,Куќа на Михајло Апостолски,,
1078,Штип (55),Штип,Куќа на Славчо Стојменски,,
1079,Штип (55),Штип,Куќа на Ванчо Прќе,,
1080,Штип (55),Штип,Куќа на ул. „Страшо Пинџур“ бр. 15,,
1081,Штип (55),Штип,Куќа на ул. „Љубен Иванов“ бр. 11,,
1082,Штип (55),Штип,Куќа на ул. „Маршал Тито“ бр. 2,,
1083,Штип (55),Штип,Куќа на ул. Маршал Тито бр. 18,,
1084,Штип (55),Штип,Куќа на ул. Маршал Тито бр. 20,,
1085,Штип (55),Штип,Зграда на Хотел Гарни,,
1086,Штип (55),Штип,Куќа на ул. „Тошо Арсов“ бр. 2,,
1087,Штип (55),Штип,Куќа на ул. „Тошо Арсов“ бр. 4,,
1088,Штип (55),Штип,Куќа на ул. „Тошо Арсов“ бр. 8,,
1089,Штип (55),Штип,Куќа на ул. „Тошо Арсов“ бр. 62,,
1090,Штип (55),Штип,Куќа на ул. „Тошо Арсов“ бр. 68,,
1091,Штип (55),Штип,Магаза на ул. „Иво Рибар Лола“ бр. 54,,
1092,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 3,,
1093,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 7,,
1094,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 31,,
1095,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 33,,
1096,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 41,,
1097,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 45,,
1098,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 55,,
1099,Штип (55),Штип,Објект на ул. Гоце Делчев бр. 57,,
1100,Штип (55),Штип,Емир Ќучук Султанов мост,,
1101,Штип (55),Штип,Саат-кула,,
1102,Штип (55),Штип,Црква „Св. Архангел Михаил Главатов“,,
1103,Штип (55),Штип,Црква „Св. Спас“,,
1104,Штип (55),Штип,Црква „Св. Јован Крстител“,,
1105,Штип (55),Штип,Црква „Св. Архангел Михаил - Фитијата“,,
1106,Штип (55),Штип,Црква „Св. Никола“,,
1107,Штип (55),Штип,Џамија Хусамедин Паша,,
1108,Штип (55),Штип,Административна зграда - банка,,
1109,Штип (55),Штип,Митрополија на Брегалничката епархија,,
1110,Штип (55),Штип,Училишна зграда,,
1111,Штип (55),Штип,Еврејски гробишта,,
1112,Штип (55),Штип,Универзитетска библиотека „Гоце Делчев“,,
Културно наследство во Град Скопје,Културно наследство во Град Скопје,Културно наследство во Град Скопје,Културно наследство во Град Скопје,Културно наследство во Град Скопје,
1113,Бутел (7),Бутел,Партизански гробишта,,
1114,Бутел (7),Визбегово,Скопски аквадукт,,
1115,Бутел (7),Љубанци,Љубански манастир,,
1116,Бутел (7),Љубанци,Црква „Св. Никола“,,
1117,Бутел (7),Љуботен,Црква „Св. Никола“,,
1118,Бутел (7),Радишани,Црква „Св. Никола“,,
1119,Бутел (7),Радишани,Црква „Св. Ѓорѓи“,,
1120,Гази Баба (7),Булачани,Црква „Успение на Пресвета Богородица“,,
1121,Гази Баба (7),Булачани,Археолошко наоѓалиште „Турски Гробишта“,,
1122,Гази Баба (7),Гази Баба,Турбе на кралската ќерка,,
1123,Гази Баба (7),Гази Баба,Чешма на улица „Челопек“,,
1124,Гази Баба (7),Гази Баба,Турбе на Ашик Челеби,,
1124,Гази Баба (7),Маџари,Тумба,,
1125,Гази Баба (7),Раштак,Црква „Вознесение Христово“,,
1126,Ѓорче Петров (2),Кучково,Црква „Св. Ѓорѓи“,,
1127,Ѓорче Петров (2),Орман,Археолошко наоѓалиште „Брест“,,
1128,Карпош (6),Бардовци,Хавзипашини конаци,,
1129,Карпош (6),Горно Нерези,Црква „Св. Пантелејмон“,,
1130,Карпош (6),Злокуќани,Археолошко наоѓалиште „Скупи“,,
1132,Карпош (6),Козле,Куќа на ул. „Кнез Хацон“ бр. 2,,
1131,Карпош (6),Козле,Спомен-гробница на Кузман Јосифовски-Питу,,
1133,Карпош (6),Тафталиџе 2,Зграда на ДАРМ - Одделение Скопје,,
1134,Кисела Вода (4),Драчево,Археолошко наоѓалиште „Пеленица“,,
1135,Кисела Вода (4),Кисела Вода,Куќа на ул. „Ѓорѓи Димитров“ бр. 37,,
1135,Кисела Вода (4),Кисела Вода,Куќа на ул. „Првомајска“ бр. 41,,
1135,Кисела Вода (4),југозападно од Кисела Вода,Маркови Кули,,
1136,Сарај (6),Глумово,Спомен-гробница на паднатите борци,,
1137,Сарај (6),Матка,Црква „Св. Андреја“,,
1138,Сарај (6),Матка,Црква „Успение на Пресвета Богородица“,,
1139,Сарај (6),Сарај,Хусеин-шахова џамија,,
1140,Сарај (6),Шишево,Црква „Св. Атанасиј“,,
1141,Сарај (6),Шишево,Шишевски манастир,,
1142,Центар (50),Скопје,Даут-пашин амам,,
1151,Центар (50),Скопје,Градска болница,,
1151,Центар (50),Скопје,Стара железничка станица,,
1143,Центар (50),Дебар Маало,Зграда на бул. „Илинден“ бр. 41,,
1143,Центар (50),Дебар Маало,Куќа на бул. „Илинден“ бр. 53,,
1143,Центар (50),Дебар Маало,Зграда на бул. „Илинден“ бр. 63,,
1143,Центар (50),Дебар Маало,Зграда на бул. „Илинден“ бр. 68,,
1143,Центар (50),Дебар Маало,Зграда на бул. „Илинден“ бр. 80,,
1145,Центар (50),Скопје,Куќа на ул. „Славеј Планина“ бр. 2,,
1146,Центар (50),Маџир Маало,Куќа на ул. „Охридска“ бр. 4,,
1147,Центар (50),Центар,Куќа на ул. „8 Ударна Бригада“ бр. 22,,
1148,Центар (50),Скопје,Куќа на ул. „150“ бр. 15,,
1150,Центар (50),Центар,Ристиќева палата,,
1152,Центар (50),Скопје,Куќа на ул. „Пајкова“ бр. 2,,
1153,Центар (50),Скопје,Споменик на паднатите борци,,
1154,Центар (50),Дебар Маало,Споменик на Гоце Делчев,,
1155,Центар (50),Центар,Феудална кула,,
1156,Центар (50),Центар,Камен мост,,
1157,Центар (50),Скопје,Скопско Кале,,
1158,Центар (50),Скопје,Адем баба-теќе,,
1161,Центар (50),Скопје,Црква „Св. Спас“,,
1162,Центар (50),Скопје,Црква „Св. Димитар“,,
1163,Центар (50),Скопје,Џамија Кебир Мехмед Челеби,,
1164,Центар (50),Скопје,Кури чешма,,
1165,Центар (50),Скопје,Чешма на улица „110“,,
1166,Центар (50),Скопје,Чешма кај Стара нова бања,,
1159,Центар (50),Дебар Маало,Зграда на ул. „Орце Николов“ бр. 83а,,
1159,Центар (50),Дебар Маало,Зграда на ул. „Орце Николов“ бр. 88,,
1159,Центар (50),Дебар Маало,Зграда на ул. „Орце Николов“ бр. 108,,
1159,Центар (50),Дебар Маало,Зграда на ул. „Орце Николов“ бр. 109,,
1159,Центар (50),Дебар Маало,Зграда на ул. „Орце Николов“ бр. 115,,
1143,Центар (50),Дебар Маало,Зграда на ул. „Ѓуро Ѓаковиќ“ бр. 61,,
1143,Центар (50),Дебар Маало,Зграда на ул. „Кукушка“ бр. 17,,
1143,Центар (50),Дебар Маало,Зграда на ул. „Аминта Трети“ бр. 17,,
1143,Центар (50),Дебар Маало,Зграда на ул. „Наум Наумовски - Борче“ бр. 82,,
1143,Центар (50),Дебар Маало,Зграда на ул. „Наум Наумовски - Борче“ бр. 88,,
1159,Центар (50),Дебар Маало,Зграда на ул. „Раде Кончар“ („Живко Чинго“/„Боемска“) бр. 4,,
1159,Центар (50),Дебар Маало,Зграда на Ташковиќ,,
1159,Центар (50),Дебар Маало,Зграда на Кубеш,,
1159,Центар (50),Скопје,Зграда на кеј „Димитар Влахов“ бр. 19,,
1159,Центар (50),Центар,Главна зграда на Македонска пошта,,
1167,Центар (50),Скопје,Зграда на Музејот на македонската борба,,
1168,Центар (50),Скопје,Зграда на Националната и универзитетска библиотека „Св. Климент Охридски“,,
1169,Центар (50),Скопје,Стара зграда на Државниот архив на Република Македонија,,
1170,Центар (50),Скопје,Зграда на Институтот за македонски јазик „Крсте Мисирков“,,
1172,Центар (50),Скопје,Спомен-куќа на Мајка Тереза,,
1173,Центар (50),Дебар Маало,Зграда на Градската библиотека „Браќа Миладиновци“,,
1171,Центар (50),Скопје,Зграда на „Вардар филм“,,
1174,Центар (50),Скопје,Зграда на Музејот на современата уметност,,
1174,Центар (50),Скопје,Спомен-куќа на Лазар Личеноски,,
1175,Центар и Чаир (1),Скопје,Скопска чаршија,,
1176,Чаир (32),Скопје,Стара нова бања,,
1177,Чаир (32),Скопје,Остатоци од амам кај Јахја-пашината џамија,,
1178,Чаир (32),Скопје,Ѓулчилер амам,,
1179,Чаир (32),Скопје,Чифте амам,,
1180,Чаир (32),Скопје,Куршумли ан,,
1181,Чаир (32),Скопје,Куќа на ул. „Севастополска“ бр. 5,,
1182,Чаир (32),Скопје,Сули ан,,
1183,Чаир (32),Скопје,Капан ан,,
1183,Чаир (32),Скопје,Безистен,,
1149,Чаир (32),Скопје,Куќа на ул. „178-Битпазарска“ бр. 20,,
1184,Чаир (32),Скопје,Стара турска пошта,,
1185,Чаир (32),Скопје,Комплекс на Турбе на Јигит-паша и Турбе на Шејх Медах баба,,
1186,Чаир (32),Скопје,Вилаетски конак „Уќумат“,,
1187,Чаир (32),Скопје,Саат-кула,,
1188,Чаир (32),Скопје,Руфаиско теќе,,
1189,Чаир (32),Скопје,Џамија Худаверди,,
1190,Чаир (32),Скопје,Џамија Хаџи Балабан,,
1192,Чаир (32),Скопје,Џамија Дуќанџик,,
1193,Чаир (32),Скопје,Иса-бегова џамија,,
1194,Чаир (32),Скопје,Мурат-пашина џамија,,
1195,Чаир (32),Скопје,Алаџа џамија,,
1196,Чаир (32),Скопје,Јахја-пашина џамија,,
1197,Чаир (32),Скопје,Султан-муратова џамија,,
1198,Чаир (32),Скопје,Мустафа-пашина џамија,,
1199,Чаир (32),Скопје,Турбе на Исхак-бег,,
1200,Чаир (32),Скопје,Турбе на Шејх Медах-баба,,
1202,Чаир (32),Скопје,Зграда на Музејот на Македонија,,
1203,Чаир (32),Скопје,Соук чешма,,
1204,Чаир (32),Скопје,Топанска чешма,,
1205,Чаир (32),Гази Баба,Куќа на ул. „Јајце“ бр. 146,,
1191,Чаир (32),Скопје,Хатунџук џамија,,
1206,Чаир (32),Скопје,Куќа на Јашар-бег,,
