Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
128,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 103,,
129,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 105,,
130,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 109,,
131,Битола (162),Битола,Куќа на ул. „Добривое Радосавњевиќ“ бр. 6,,
132,Битола (162),Битола,Станбен објект на ул. „Широк сокак“ бр. 67,,
133,Битола (162),Битола,Станбен објект на ул. „Широк сокак“ бр. 90,,
134,Битола (162),Битола,Станбен објект на ул. „Широк сокак“ бр. 61,,
135,Битола (162),Битола,Станбен објект на ул. „Широк сокак“ бр. 45,,
136,Битола (162),Битола,Станбен објект на ул. „Широк сокак“ бр. 6,,
137,Битола (162),Битола,Станбен објект на ул. „Рузвелтова“ бр. 26,,
138,Битола (162),Битола,Станбен објект на ул. „Рузвелтова“ бр. 7,,
139,Битола (162),Битола,Станбен објект на ул. „Рузвелтова“ бр. 24,,
140,Битола (162),Битола,Станбен објект на ул. „Славко Лумбарко“ бр. 3,,
140,Битола (162),Битола,Еврејски гробишта,,
140,Битола (162),Битола,Ислахане,,
141,Битола (162),Буково,Археолошко наоѓалиште „Тумба“,,
142,Битола (162),Велушина,Велушка Тумба,,
143,Битола (162),Велушина,Археолошко наоѓалиште „Света Богородица Пречиста“,,
144,Битола (162),Велушина,Црква „Успение на Пресвета Богородица“,,
145,Битола (162),Велушина,Манастир „Свети Ѓорѓи“,,
146,Битола (162),Гопеш,Црква „Свето Преображение“,,
147,Битола (162),Канино,Тумба,,
148,Битола (162),Крстоар,Манастир „Свети Христофор“,,
160,Битола (162),Маловиште,Куќа на Ванку на Папе,,
149,Битола (162),Маловиште,Рурална споменичка целина Маловиште,,
149,Битола (162),Породин,Тумба,,
150,Битола (162),Рамна,Раменска Тумба,,
151,Битола (162),Рамна,Раменска Грмада,,
152,Битола (162),Српци,Висои,,
153,Битола (162),Српци,Грамадиште,,
154,Битола (162),Трн,Тумба,,
155,Битола (162),Цапари,Црква „Св. Петка“,,
156,Битола (162),Оптичари,Тумба,,
157,Битола (162),Долно Егри,Тумба,,
158,Битола (162),Средно Егри,Лагитница,,
159,Битола (162),Средно Егри,Црква „Св. Архангел Михаил“,,
161,Битола (162),Стрежево,Кале,,
162,Брвеница (1),Челопек,Црква „Св. Никола“,,
163,Валандово (6),Валандово,Археолошко наоѓалиште „Стакина Чешма“,,
164,Валандово (6),Валандово,Археолошко наоѓалиште „Исар Кале“,,
165,Валандово (6),Градец,Археолошко наоѓалиште „Градиште“,,
166,Валандово (6),Дедели,Археолошко наоѓалиште „Каракуш“,,
167,Валандово (6),Марвинци,Исар,,
168,Валандово (6),Удово,Спомен-костурница,,
169,Василево (1),Требичино,Црква „Св. Петка“,,
170,Вевчани (11),Вевчани,"Костојчинов вир, валавица и воденица",,
171,Вевчани (11),Вевчани,Куќа на Коруновци,,
172,Вевчани (11),Вевчани,Куќа на Дуцкиновци,,
173,Вевчани (11),Вевчани,Куќа на Костојчиновци,,
174,Вевчани (11),Вевчани,Куќа на Ќитановци,,
175,Вевчани (11),Вевчани,Куќа на Пешиновци,,
176,Вевчани (11),Вевчани,Куќа на Плушковци,,
177,Вевчани (11),Вевчани,Куќа на Калајџиевци,,
178,Вевчани (11),Вевчани,Куќа на Гоговци,,
179,Вевчани (11),Вевчани,Куќа на Даскаловци,,
180,Вевчани (11),Вевчани,Куќа на Поповци,,
181,Велес (28),Велес,Партизански гробишта,,
182,Велес (28),Велес,Спомен-куќа на Васил Главинов,,
183,Велес (28),Велес,Спомен-костурница,,
184,Велес (28),Велес,Куќа на ул. „Јован Алабакот“ бр. 1,,
185,Велес (28),Велес,Куќа на Прнарови,,
186,Велес (28),Велес,Куќа на Тренчови,,
187,Велес (28),Велес,Куќа на Чокалови,,
188,Велес (28),Велес,Куќа на ул. „Јован Алабакот“ бр. 8,,
189,Велес (28),Велес,Куќа на Паунови,,
190,Велес (28),Велес,Куќа на ул. „Максим Горки“ бр. 73,,
191,Велес (28),Велес,Куќа на ул. „Петар Михов“ бр. 3,,
192,Велес (28),Велес,Куќа на ул. „Јордан Хаџи Константинов-Џинот“ бр. 7,,
